Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "20160621_DWC_LSM9DS1.brd" as of: 6/21/16 4:02 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.491,0.328,270
C2,Bottom,0.413,0.328,270
C3,Bottom,0.336,0.328,270
C4,Bottom,0.647,0.328,270
C5,Bottom,0.569,0.328,270
C6,Bottom,1.159,0.182,90
C7,Bottom,1.237,0.182,90
C8,Bottom,1.314,0.182,90
C9,Bottom,1.003,0.182,90
C10,Bottom,1.081,0.182,90
C11,Bottom,1.159,0.742,90
C12,Bottom,1.237,0.742,90
C13,Bottom,1.314,0.742,90
C14,Bottom,1.003,0.742,90
C15,Bottom,1.081,0.742,90
C16,Bottom,0.491,0.888,270
C17,Bottom,0.413,0.888,270
C18,Bottom,0.336,0.888,270
C19,Bottom,0.647,0.888,270
C20,Bottom,0.569,0.888,270
JP1,Top,1.499,0.257,270
JP2,Top,0.151,0.253,90
JP3,Bottom,0.151,0.253,270
JP4,Top,0.474,0.069,0
JP5,Bottom,1.499,0.257,90
JP6,Top,1.176,0.441,180
JP7,Top,1.499,0.817,270
JP8,Bottom,1.499,0.817,90
JP9,Top,1.176,1.001,180
JP10,Top,0.151,0.813,90
JP11,Bottom,0.151,0.813,270
JP12,Top,0.474,0.629,0
R1,Top,0.458,0.382,270
R2,Top,1.192,0.128,90
R3,Top,1.192,0.688,90
R4,Top,0.458,0.942,270
U$1,Top,0.350,0.328,180
U$2,Top,1.300,0.182,0
U$3,Top,1.300,0.742,0
U$4,Top,0.350,0.888,180
U1,Top,0.600,0.328,0
U2,Top,1.050,0.182,180
U3,Top,1.050,0.742,180
U4,Top,0.600,0.888,0
