Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "20160708_DWC_LSM9DS1.brd" as of: 7/12/16 12:09 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.491,0.328,270
C2,Bottom,0.413,0.328,270
C3,Bottom,0.336,0.328,270
C4,Bottom,0.650,0.328,270
C5,Bottom,0.566,0.328,270
C6,Bottom,1.144,0.182,90
C7,Bottom,1.222,0.182,90
C8,Bottom,1.299,0.182,90
C9,Bottom,0.985,0.182,90
C10,Bottom,1.069,0.182,90
C11,Bottom,1.144,0.727,90
C12,Bottom,1.222,0.727,90
C13,Bottom,1.299,0.727,90
C14,Bottom,0.985,0.727,90
C15,Bottom,1.069,0.727,90
C16,Bottom,0.491,0.873,270
C17,Bottom,0.413,0.873,270
C18,Bottom,0.336,0.873,270
C19,Bottom,0.650,0.873,270
C20,Bottom,0.566,0.873,270
D1,Top,0.593,0.451,270
D2,Top,1.042,0.059,90
D3,Top,1.042,0.604,90
D4,Top,0.593,0.996,270
JP1,Bottom,0.151,0.253,270
JP2,Top,0.151,0.253,90
JP3,Top,1.484,0.257,270
JP4,Top,0.474,0.069,0
JP5,Top,1.161,0.441,180
JP6,Bottom,1.484,0.257,90
JP7,Top,1.484,0.802,270
JP8,Top,1.161,0.986,180
JP9,Bottom,1.484,0.802,90
JP10,Top,0.151,0.798,90
JP11,Top,0.474,0.614,0
JP12,Bottom,0.151,0.798,270
R1,Top,0.458,0.382,270
R2,Bottom,0.566,0.210,270
R3,Top,1.177,0.128,90
R4,Bottom,1.069,0.300,90
R5,Top,1.177,0.673,90
R6,Bottom,1.069,0.845,90
R7,Top,0.458,0.927,270
R8,Bottom,0.566,0.755,270
T1,Top,0.350,0.328,180
T2,Top,1.285,0.182,0
T3,Top,1.285,0.727,0
T4,Top,0.350,0.873,180
U1,Top,0.600,0.328,0
U2,Top,1.035,0.182,180
U3,Top,1.035,0.727,180
U4,Top,0.600,0.873,0
